Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020-03-11,6.0,CA,6083.0,Santa Barbara County,0.18203691940482378,0.8179630805951762,1666547.0,0.386260041010097,0.32051945661801073,0.26999440026878707,0.2438779674410021,163299.0,84416.0,42086.0,17235.0,4669.0,1725.0,06-06083-20200311,10,3
County,2020-03-12,6.0,CA,6083.0,Santa Barbara County,0.20261400165540605,0.7973859983445939,1718209.0,0.43637707007976057,0.2933008960511635,0.26465449658416396,0.3002102844428502,160669.0,96680.0,43300.0,15484.0,4813.0,836.0,06-06083-20200312,10,3
County,2020-03-13,6.0,CA,6083.0,Santa Barbara County,0.19156512867894748,0.8084348713210525,1897625.0,0.5275115531391853,0.41030056247627594,0.21286370254227796,0.35861945274058593,159199.0,92011.0,41362.0,16743.0,3225.0,881.0,06-06083-20200313,10,3
County,2020-03-14,6.0,CA,6083.0,Santa Barbara County,0.3714172970683914,0.6285827029316087,1678060.0,0.420163262646444,0.3468454167960707,0.2141785194310673,0.25861347432008464,160953.0,73037.0,28721.0,21487.0,3655.0,1195.0,06-06083-20200314,10,3
County,2020-03-15,6.0,CA,6083.0,Santa Barbara County,0.5886604685184116,0.4113395314815884,1275621.0,0.2735505894544564,0.20928373419832752,0.18278866614402509,0.1447895466017878,102877.0,60573.0,25085.0,12670.0,1643.0,655.0,06-06083-20200315,11,3
County,2020-03-16,6.0,CA,6083.0,Santa Barbara County,0.4912609959384805,0.5087390040615195,1284371.0,0.24012557371570187,0.22259567272852757,0.17571060589091725,0.1853232376006259,109690.0,66909.0,30062.0,10216.0,2441.0,731.0,06-06083-20200316,11,3
County,2020-03-17,6.0,CA,6083.0,Santa Barbara County,0.599699717041058,0.4003002829589421,1233208.0,0.22701747711180453,0.21960960235572885,0.14443050733564788,0.13854859546107917,105745.0,65760.0,30495.0,11804.0,1543.0,567.0,06-06083-20200317,11,3
County,2020-03-18,6.0,CA,6083.0,Santa Barbara County,0.6569940905853593,0.3430059094146407,1256032.0,0.24244198206360032,0.19339751774273325,0.17268227125097996,0.16650680890108832,109130.0,67161.0,32686.0,12563.0,1281.0,660.0,06-06083-20200318,11,3
County,2020-03-19,6.0,CA,6083.0,Santa Barbara County,0.6658774614540625,0.33412253854593754,1193063.0,0.23432614483017383,0.16879579465590025,0.12741628401836713,0.15835276319996258,113664.0,58446.0,28475.0,10562.0,1230.0,591.0,06-06083-20200319,11,3
County,2020-03-20,6.0,CA,6083.0,Santa Barbara County,0.6951742988585398,0.30482570114146024,1126247.0,0.19226504588149113,0.17368209162957085,0.11363870534214358,0.13970528986241834,97845.0,54139.0,26968.0,13248.0,1930.0,1119.0,06-06083-20200320,11,3
County,2020-03-21,6.0,CA,6083.0,Santa Barbara County,0.8027371946642028,0.19726280533579718,1097504.0,0.21291303063775852,0.16830693490688658,0.10394669055885318,0.09063805342628478,89537.0,43821.0,25859.0,12715.0,1927.0,878.0,06-06083-20200321,11,3
County,2020-03-22,6.0,CA,6083.0,Santa Barbara County,0.7683490211930473,0.2316509788069527,878778.0,0.1431906107687764,0.10073386475263697,0.04482248852055101,0.0346228526423319,64278.0,33160.0,16985.0,12191.0,1854.0,574.0,06-06083-20200322,12,3
County,2020-03-23,6.0,CA,6083.0,Santa Barbara County,0.6697946141556467,0.3302053858443533,956591.0,0.14712766415862563,0.10781830520951954,0.07538134169559861,0.07557243376299981,85843.0,45046.0,25388.0,9235.0,1543.0,498.0,06-06083-20200323,12,3
